Field,Bad,Good
Creator, Pauline Fiene 6 Nov 1993,"Fiene-Severns, Pauline"
Creator, Pauline Fiene-Severns 25 May 1991,"Fiene-Severns, Pauline"
Creator, Pauline Fiene-Severns 31 May 1993,"Fiene-Severns, Pauline"
Creator," Perry, George, b. 1771","Perry, George"
Creator," Perry, George, b. 1772","Perry, George"
Creator," Perry, George, b. 1773","Perry, George"
Creator," Perry, George, b. 1774","Perry, George"
Creator," Perry, George, b. 1775","Perry, George"
Creator," Perry, George, b. 1776","Perry, George"
Creator, Photo department,Photo department
Creator, Photo Department,Photo department
Creator, Photographer unknown.,Unknown
Creator, Photography by Charles Burchshalter,"Burchshalter, Charles"
Creator," Pierce, William","Pierce, William"
Creator," Pilsbry, Henry A.","Pilsbry, Henry A."
Creator," Polelonema, Otis","Polelonema, Otis"
Creator," Possible Tose, Frank, 1884-1944",Unknown
Creator," Possibly Tose, Frank, 1884-1944",Unknown
Creator, Possibly W. O. Emerson,Unknown
Creator, Possibly W. O. Emerson photo,Unknown
Creator," Powell, Dave","Powell, Dave"
Creator," Probably Dempster, Robert P. or Herald, Earl S.",Unknown
Creator, Probably Elmer Moss,Unknown
Creator, Probably G. Dallas Hanna,Unknown
Creator, Probably Leslie Simson,Unknown
Creator," Probably Mjoberg, Eric, 1882-1938",Unknown
Creator, Probably Raymond Duhem (expedition photographer),Unknown
Creator, Probably Toshio Asaeda,Unknown
Creator, R.F. Bolland 02 May 1997,"Bolland, Robert F."
Creator, R.F. Bolland 04 May 1997,"Bolland, Robert F."
Creator, R.F. Bolland 1 Apr 1989,"Bolland, Robert F."
Creator, R.F. Bolland 1 Aug 1987,"Bolland, Robert F."
Creator, R.F. Bolland 1 Jul 1987,"Bolland, Robert F."
Creator, R.F. Bolland 1 Jun 1987,"Bolland, Robert F."
Creator, R.F. Bolland 1 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 1 Sep 1991,"Bolland, Robert F."
Creator, R.F. Bolland 11 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 11 Aug 1989,"Bolland, Robert F."
Creator, R.F. Bolland 11 Jun 1989,"Bolland, Robert F."
Creator, R.F. Bolland 11 Mar 1991,"Bolland, Robert F."
Creator, R.F. Bolland 12 Jun 1987,"Bolland, Robert F."
Creator, R.F. Bolland 12 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 12 Mar 1989,"Bolland, Robert F."
Creator, R.F. Bolland 12 Mar 1992,"Bolland, Robert F."
Creator, R.F. Bolland 13 Jul 1987,"Bolland, Robert F."
Creator, R.F. Bolland 13 Jul 1992,"Bolland, Robert F."
Creator, R.F. Bolland 13 May 1989,"Bolland, Robert F."
Creator, R.F. Bolland 14 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 15 Jan 1988,"Bolland, Robert F."
Creator, R.F. Bolland 15 Jul 1992,"Bolland, Robert F."
Creator, R.F. Bolland 15 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 15 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 16 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 16 Aug 1989,"Bolland, Robert F."
Creator, R.F. Bolland 16 Jul 1989,"Bolland, Robert F."
Creator, R.F. Bolland 16 Jul 1991,"Bolland, Robert F."
Creator, R.F. Bolland 16 Jun 1989,"Bolland, Robert F."
Creator, R.F. Bolland 16 Mar 1989,"Bolland, Robert F."
Creator, R.F. Bolland 17 Feb 1989,"Bolland, Robert F."
Creator, R.F. Bolland 17 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 17 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 18 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 18 Apr 1989,"Bolland, Robert F."
Creator, R.F. Bolland 18 Feb 1990,"Bolland, Robert F."
Creator, R.F. Bolland 18 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 18 May 1989,"Bolland, Robert F."
Creator, R.F. Bolland 18 May 1991,"Bolland, Robert F."
Creator, R.F. Bolland 19 Aug 1989,"Bolland, Robert F."
Creator, R.F. Bolland 19 Feb 1989,"Bolland, Robert F."
Creator, R.F. Bolland 19 Jul 1991,"Bolland, Robert F."
Creator, R.F. Bolland 19 May 1991,"Bolland, Robert F."
Creator, R.F. Bolland 2 Aug 1991,"Bolland, Robert F."
Creator, R.F. Bolland 2 Jun 1989,"Bolland, Robert F."
Creator, R.F. Bolland 2 May 1987,"Bolland, Robert F."
Creator, R.F. Bolland 20 Jan 1992,"Bolland, Robert F."
Creator, R.F. Bolland 20 Jul 1988,"Bolland, Robert F."
Creator, R.F. Bolland 20 Jul 1991,"Bolland, Robert F."
Creator, R.F. Bolland 20 Jun 1987,"Bolland, Robert F."
Creator, R.F. Bolland 20 Mar 1991,"Bolland, Robert F."
Creator, R.F. Bolland 21 Aug 1992,"Bolland, Robert F."
Creator, R.F. Bolland 21 Jul 1989,"Bolland, Robert F."
Creator, R.F. Bolland 21 May 1987,"Bolland, Robert F."
Creator, R.F. Bolland 21 May 1989,"Bolland, Robert F."
Creator, R.F. Bolland 22 July 1991,"Bolland, Robert F."
Creator, R.F. Bolland 22 May 1987,"Bolland, Robert F."
Creator, R.F. Bolland 22 Nov 1991,"Bolland, Robert F."
Creator, R.F. Bolland 23 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 23 Apr 1992,"Bolland, Robert F."
Creator, R.F. Bolland 23 May 1987,"Bolland, Robert F."
Creator, R.F. Bolland 23 Nov 1991,"Bolland, Robert F."
Creator, R.F. Bolland 24 Mar 1991,"Bolland, Robert F."
Creator, R.F. Bolland 24 May 1991,"Bolland, Robert F."
Creator, R.F. Bolland 25 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 25 Apr 1990,"Bolland, Robert F."
Creator, R.F. Bolland 26 Apr 1991,"Bolland, Robert F."
Creator, R.F. Bolland 26 Jul 1987,"Bolland, Robert F."
Creator, R.F. Bolland 26 July 1991,"Bolland, Robert F."
Creator, R.F. Bolland 26 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 26 May 1989,"Bolland, Robert F."
Creator, R.F. Bolland 27 Mar 1991,"Bolland, Robert F."
Creator, R.F. Bolland 27 May 1992,"Bolland, Robert F."
Creator, R.F. Bolland 28 Jul 1989,"Bolland, Robert F."
Creator, R.F. Bolland 28 Jun 1991,"Bolland, Robert F."
Creator, R.F. Bolland 28 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 28 May 1989,"Bolland, Robert F."
Creator, R.F. Bolland 29 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 29 Apr 1989,"Bolland, Robert F."
Creator, R.F. Bolland 29 Dec 1988,"Bolland, Robert F."
Creator, R.F. Bolland 29 May 1992,"Bolland, Robert F."
Creator, R.F. Bolland 3 Apr 1992,"Bolland, Robert F."
Creator, R.F. Bolland 3 Jul 1987,"Bolland, Robert F."
Creator, R.F. Bolland 3 Jul 1989,"Bolland, Robert F."
Creator, R.F. Bolland 3 Jun 1989,"Bolland, Robert F."
Creator, R.F. Bolland 3 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 30 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 30 Apr 1989,"Bolland, Robert F."
Creator, R.F. Bolland 30 Jun 1991,"Bolland, Robert F."
Creator, R.F. Bolland 30 May 1991,"Bolland, Robert F."
Creator, R.F. Bolland 31 Dec 1988,"Bolland, Robert F."
Creator, R.F. Bolland 31 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 4 Jan 1989,"Bolland, Robert F."
Creator, R.F. Bolland 4 Jun 1989,"Bolland, Robert F."
Creator, R.F. Bolland 4 Jun 1991,"Bolland, Robert F."
Creator, R.F. Bolland 5 Jun 1987,"Bolland, Robert F."
Creator, R.F. Bolland 6 Aug 1989,"Bolland, Robert F."
Creator, R.F. Bolland 6 Aug 1991,"Bolland, Robert F."
Creator, R.F. Bolland 6 Jun 1991,"Bolland, Robert F."
Creator, R.F. Bolland 6 Jun 1992,"Bolland, Robert F."
Creator, R.F. Bolland 6 May 1991,"Bolland, Robert F."
Creator, R.F. Bolland 6 Sep 1991,"Bolland, Robert F."
Creator, R.F. Bolland 7 Jun 1989,"Bolland, Robert F."
Creator, R.F. Bolland 7 Mar 1987,"Bolland, Robert F."
Creator, R.F. Bolland 7 May 1989,"Bolland, Robert F."
Creator, R.F. Bolland 7 Sep 1991,"Bolland, Robert F."
Creator, R.F. Bolland 8 Apr 1987,"Bolland, Robert F."
Creator, R.F. Bolland 8 Nov 1991,"Bolland, Robert F."
Creator, R.F. Bolland 9 Jul 1991,"Bolland, Robert F."
Creator, R.F. Bolland 9 Jun 1989,"Bolland, Robert F."
Creator, R/V Acona 16 Apr 1962,R/V Acona 16 Apr 1962
Creator, R/V Acona 21 Oct 1961,R/V Acona 21 Oct 1961
Creator, R/V Acona 27 Apr 1963,R/V Acona 27 Apr 1963
Creator, R/V USS Mulberry 15 Feb 1950,R/V USS Mulberry 15 Feb 1950
Creator, R/V Yaquina 24 Mar 1966,R/V Yaquina 24 Mar 1966
Creator," Randall, J.","Randall, J."
Creator, Rene Gasse's negative.,"Gasse, Rene"
Creator, Rene Gasse's negatives,"Gasse, Rene"
Creator, Rene Gasse's negatives.,"Gasse, Rene"
Creator, Rev. Elwood B. Hunter 30 May 1953,"Hunter, Elwood B."
Creator, Richard Barton Hansen,"Hansen, Richard Barton"
Creator," Rinehart , A. E.","Rinehart , A. E."
Creator," Rinehart, A. E.","Rinehart , A. E."
Creator," Rittenbach, Donovan","Rittenbach, Donovan"
Creator," Rixford, Guilian Pickering","Rixford, Guilian Pickering"
Creator, Robert F. Bolland 1 Nov 1992,"Bolland, Robert F."
Creator, Robert F. Bolland 1/11/1995,"Bolland, Robert F."
Creator, Robert F. Bolland 10/18/1994,"Bolland, Robert F."
Creator, Robert F. Bolland 13 Jul 1994,"Bolland, Robert F."
Creator, Robert F. Bolland 16 Jul 1989,"Bolland, Robert F."
Creator, Robert F. Bolland 16 Mar 1987,"Bolland, Robert F."
Creator, Robert F. Bolland 18 Apr 1987,"Bolland, Robert F."
Creator, Robert F. Bolland 18 Apr 1993,"Bolland, Robert F."
Creator, Robert F. Bolland 18 Nov 1994,"Bolland, Robert F."
Creator, Robert F. Bolland 23 Jan 1993,"Bolland, Robert F."
Creator, Robert F. Bolland 26 Dec 1992,"Bolland, Robert F."
Creator, Robert F. Bolland 3 Jan 1993,"Bolland, Robert F."
Creator, Robert F. Bolland 3/15/1995,"Bolland, Robert F."
Creator, Robert F. Bolland 31 Aug 1989,"Bolland, Robert F."
Creator, Robert F. Bolland 7/16/1995,"Bolland, Robert F."
Creator, Robert F. Bolland 7/19/1995,"Bolland, Robert F."
Creator, Robert F. Bolland 8/26/1994,"Bolland, Robert F."
Creator, Robert F. Bolland 9/11/1994,"Bolland, Robert F."
Creator, Robert Setzer 4 May 1969,"Setzer, Robert"
Creator," Rogers, Frank","Rogers, Frank L."
Creator," Rogers, Frank L.","Rogers, Frank L."
Creator, Ron McPeak 28 Feb 1995,"McPeak, Ron"
Creator," Rondelet, Guillaume, 1507-1566","Rondelet, Guillaume"
Creator, Roof,Roof
Creator, Rose & Co..,Rose & Co.
Creator," Ross, Ed","Ross, Edward S."
Creator," Ross, Edward S.","Ross, Edward S."
Creator," Rothschild, L.W.","Rothschild, L.W."
Creator," Rowley, John Stewart","Rowley, John Stewart"
Creator," Ruppell, Eduard","Ruppell, Eduard"
Creator," Ruppell, Eduard, 1794-1884","Ruppell, Eduard"
Creator, S. Fahey 07 May 2001,"Fahey, S."
Creator, S. Fahey 08 May 2001,"Fahey, S."
Creator, San Francisco Examiner,San Francisco Examiner
Creator, San Francisco News,San Francisco News
Creator, Sandra Gue Fletcher 19 Oct 1964,"Fletcher, Sandra Gue"
Creator, Sandra Millen 1 Jul 1977,"Millen, Sandra"
Creator, Sandra Millen 29 Apr 1979,"Millen, Sandra"
Creator, Sandra Millen 7 Jul 1977,"Millen, Sandra"
Creator, Scenic view card company.,Scenic View Card Company
Creator, Scripps Inst. Oceanography 18 May 1959?,Scripps Institute of Oceanography
Creator," Scripps Inst., Oceanography 5 Apr 1959",Scripps Institute of Oceanography
Creator, SF Chronicle,SF Chronicle
Creator, SF Journal,SF Journal
Creator, SF News,SF News
Creator," Shih, Weber","Shih, Weber"
Creator, Shireen Fahey 18 Nov 2001,"Fahey, Shireen"
Creator, Shireen Fahey 22 Jan 2002,"Fahey, Shireen"
Creator, Shireen Fahey 27 May 2001,"Fahey, Shireen"
Creator, Sirenko 1968,Sirenko
Creator, Sirenko 5 Aug 19721,Sirenko
Creator, Sirenko Sep 1971,Sirenko
Creator, Skelton Photograpy,Skelton Photograpy
Creator," Smith, Allyn G.","Smith, Allyn G."
Creator, Solso Berge Studios,Solso Berge Studios
Creator," Soo Hoo, Carroll","Soo Hoo, Carroll"
Creator, Standard Oil Bulletin,Standard Oil Bulletin
Creator, Stanley Piltz Company,Stanley Piltz Company
Creator," Starks, Edwin Chapin, 1867-1932","Starks, Edwin Chapin"
Creator," Stephens, Charles","Stephens, Charles"
Creator," Steward, H. W.","Steward, H. W."
Creator," Stone, Stephanie","Stone, Stephanie"
Creator," Storer, Tracy I. (Tracy Irwin), 1889-1973","Storer, Tracy Irwin"
Creator," Sunderland, Clyde","Sunderland, Clyde"
Creator, Susan Middleton,"Middleton, Susan"
Creator," Swain, F.C","Swain, F.C"
Creator," Switak, Karl H.","Switak, Karl H."
Creator, T. Gosliner  H. Cheney 24 Mar 1990,"Gosliner, Terrence M.; Cheney, H."
Creator, T. Gosliner  J. Hamann 9 May 1991,"Gosliner, Terrence M.; Hamann, J."
Creator, T. Gosliner  M. Jebb 9 Nov 1990,"Gosliner, Terrence M.; Jebb, Matthew"
Creator, T. Gosliner  W. Bolz 23 Jul 1991,"Gosliner, Terrence M.; Bolz, M."
Creator, T. Gosliner 10 Feb 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 10 Jun 1976,"Gosliner, Terrence M."
Creator, T. Gosliner 11 June 1976,"Gosliner, Terrence M."
Creator, T. Gosliner 11 May 1991,"Gosliner, Terrence M."
Creator, T. Gosliner 11 Nov 1990,"Gosliner, Terrence M."
Creator, T. Gosliner 13 Oct 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 13 Sep 1987,"Gosliner, Terrence M."
Creator, T. Gosliner 14 Apr 1989,"Gosliner, Terrence M."
Creator, T. Gosliner 15 Apr 1989,"Gosliner, Terrence M."
Creator, T. Gosliner 15 Mar 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 15 Nov 1990,"Gosliner, Terrence M."
Creator, T. Gosliner 16 Apr 1989,"Gosliner, Terrence M."
Creator, T. Gosliner 16 Nov 1990,"Gosliner, Terrence M."
Creator, T. Gosliner 16 Oct 1977,"Gosliner, Terrence M."
Creator, T. Gosliner 18 Feb 1988,"Gosliner, Terrence M."
Creator, T. Gosliner 18 Nov 1990,"Gosliner, Terrence M."
Creator, T. Gosliner 19 Mar 1986,"Gosliner, Terrence M."
Creator," T. Gosliner 19, 26 Aug 1977","Gosliner, Terrence M."
Creator, T. Gosliner 20 Oct 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 23 Mar 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 3 Apr 1985,"Gosliner, Terrence M."
Creator, T. Gosliner 3 Oct 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 5 Oct 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 6 May 1991,"Gosliner, Terrence M."
Creator, T. Gosliner 6 Nov 1990,"Gosliner, Terrence M."
Creator, T. Gosliner 7 May 1977,"Gosliner, Terrence M."
Creator, T. Gosliner 7 May 1991,"Gosliner, Terrence M."
Creator, T. Gosliner 8 Feb 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 8 May 1991,"Gosliner, Terrence M."
Creator, T. Gosliner 9 Feb 1986,"Gosliner, Terrence M."
Creator, T. Gosliner 9 May 1991,"Gosliner, Terrence M."
Creator," T. Gosliner, D. Mack 8 Nov 1990","Gosliner, Terrence M.; Mack, D."
Creator," T. Gosliner, G. Williams, M. Jebb 13 Nov 1990","Gosliner, Terrence M.; Williams, G. C.; Jebb, Matthew"
Creator," T. Gosliner, M. Gosliner 10 and 12 Feb 1986","Gosliner, Terrence M."
Creator," T. Gosliner, M. Jebb 4 Nov 1990","Gosliner, Terrence M.; Jebb, Matthew"
Creator," T. Gosliner, M. Jebb 7 Nov 1990","Gosliner, Terrence M.; Jebb, Matthew"
Creator," T. Gosliner, S. Millen 6 May 1991","Gosliner, Terrence M.; Millen, S."
Creator," T. Gosliner, W.  M. Bolz 22 Jul 1991","Gosliner, Terrence M.; Bolz, M."
Creator, T. Kincaid,"Kincaid, T."
Creator," Tashjian, John H.","Tashjian, John H."
Creator, Terkelson,Terkelson
Creator, Terrence Gosliner 13 Mar 1986,"Gosliner, Terrence M."
Creator, Terry Gosliner  M. Ghiselin 9 Feb 1986,"Gosliner, Terrence M.; Ghiselin, Michael T."
Creator, Terry Gosliner 11 Apr 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 11 Mar 1986,"Gosliner, Terrence M."
Creator, Terry Gosliner 12 Apr 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 12 Feb 1986,"Gosliner, Terrence M."
Creator, Terry Gosliner 14 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 15 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 17 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 20 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 21 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 21 Aug 1978,"Gosliner, Terrence M."
Creator, Terry Gosliner 22 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 22 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 24 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 25 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 27 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 28 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 29 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 30 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 31 Mar 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 5 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 5 Apr 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 6 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 7 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 7 Apr 1990,"Gosliner, Terrence M."
Creator, Terry Gosliner 8 Apr 1989,"Gosliner, Terrence M."
Creator, Terry Gosliner 8 Apr 1990,"Gosliner, Terrence M."
Creator, test,
Creator, The Architect and Engineer magazine,The Architect and Engineer Magazine
Creator, Tom and John Burch May 1938,"Burch, Tom; Burch, John"
Creator," Tompkins, Philip W.","Tompkins, Philip W."
Creator," Tose, Frank, 1884-1944","Tose, Frank"
Creator, Towill.Inc.,Towill.Inc.
Creator, Trans-American Photo Service,Trans-American Photo Service
Creator," Tucker, L. O.","Tucker, L. O."
Creator, U.S.S. Mulberry 29 Sep 1949,USS Mulberry
Creator, Uknown,Unknown
Creator," Ullberg, Lloyd","Ullberg, Lloyd"
Creator," Ullburg, Lloyd","Ullberg, Lloyd"
Creator," Ulloa, Antoine de, 1716-1795","Ulloa, Antoine de"
Creator, unknown,Unknown
Creator, Unknown,Unknown
Creator, Unknown. From Bishop Museum expedition.,Unknown
Creator, Unown,Unknown
Creator," Upper - Kusche, Lower - Moulin, Gabriel","Kusche, J. Aug.; Moulin, Gabriel"
Creator," Usinger, Robert L. (Robert Leslie), 1912-1968","Usinger, Robert Leslie"
Creator, USS Mulberry 30 Mar 1950,USS Mulberry
Creator," Van Antwerp, W.C. Mrs","Van Antwerp, W.C."
Creator," Vindum, Jens","Vindum, Jens"
Creator, W.H. Butler 23 May 1964,"Butler, W.H."
Creator," Wagner, Bob","Wagner, Bob"
Creator, Walker,Walker
Creator," Webber, Charles","Webber, Charles"
Creator," Wiggins, Smith, Leviton  Banta 4-5 Apr 1961","Wiggins, Ira L.; Smith, Allyn Goodwin; Leviton, Alan E.; Banta, Benjamin H."
Creator, William Saville-Kent,"Saville-Kent, William"
Creator," Williams, Garry","Williams, Gary C."
Creator," Williams, Gary","Williams, Gary C."
Creator," Williams, Woodbridge","Williams, Milo Woodbridge"
Creator," Williams, Woody","Williams, Milo Woodbridge"
Creator," Willughby, Francis, 1635-1672","Willughby, Francis"
Creator," Wood, J. G. (John George), 1827-1889","Wood, John George"
Creator," Wood, John George, 1827-1889","Wood, John George"
Creator, Woody Williams,"Williams, Milo Woodbridge"
Creator," Worm, Ole, 1588-1654","Worm, Ole"
Creator," Wright, W. W.","Wright, W. W."
Creator," Zeboski, Walt","Zeboski, Walt"
Original Format,10.05 x  7.96,Photograph
Original Format,10.05 x  8,Photograph
Original Format,10.1 x  7.98,Photograph
Original Format,10.4x7.1 inches,Photograph
Original Format,10.4x7.2 inches,Photograph
Original Format,10.5x7.2 inches,Photograph
Original Format,10.5x7.3 inches,Photograph
Original Format,10.6x7.2 inches,Photograph
Original Format,10.6x7.3 inches,Photograph
Original Format,10.7x7.1 inches,Photograph
Original Format,10.7x7.2 inches,Photograph
Original Format,10.7x7.3 inches,Photograph
Original Format,10.8x7.2 inches,Photograph
Original Format,"13"" x 11"" Photograph on board",Photograph
Original Format,"14"" x 8"" Photograph on board",Photograph
Original Format,2.25x3,Negative
Original Format,2.25x3.25,Negative
Original Format,"2.5""x2.5"" negative",Negative
Original Format,2.75x3,Negative
Original Format,2.75x4,Negative
Original Format,2x3,Negative
Original Format,3 1/2 x 5 print & 4 x 5 copy negative,Photograph
Original Format,3..5x4.5,Photograph
Original Format,3.25x5.25,Photograph
Original Format,3.5x4.25,Photograph
Original Format,3.5x4.25 print,Photograph
Original Format,3.5x4.5,Photograph
Original Format,3.5x5.5,Photograph
Original Format,35mm slide,35mm slide
Original Format,35mm slide.,35mm slide
Original Format,3x4,Photograph
Original Format,3x4; 2x3,Photograph
Original Format,4 1/2 x 6 3/4 print & 4 x 5 neg,Photograph
Original Format,"4 1/2"" x 12"" mounted photograph",Mounted photograph
Original Format,4 3/4 x 7 print,Photograph
Original Format,4 x 6 print & 4 x 5 copy neg,Photograph; Copy negative
Original Format,"4"" x 5"" nitrate",Nitrate Negative
Original Format,"4"" x 5"", film (unknown base)",Negative
Original Format,"4"" x 5"", glass",Glass Plate Negative
Original Format,"4"" x 6""",Photograph
Original Format,"4"" x 6"", film (unknown base)",Film
Original Format,"4"" x 6"", glass",Glass Plate Negative
Original Format,"4""x5"" negative",Negative
Original Format,"4""x6"" black and white print",Photograph
Original Format,4..25x6.25,Photograph
Original Format,4.25x6.25,Photograph
Original Format,4x5,Photograph
Original Format,4x5 film,Negative
Original Format,4x5 glass,Glass Plate Negative
Original Format,4x5 negative,Negative
Original Format,4x5 print,Photograph
Original Format,4x6 negative produced using scanning electron microscopy (SEM).,Negative
Original Format,4x6 negative produced using scanning electron microscopy (SEM).�,Negative
Original Format,4x6 nitrate negative,Nitrate Negative
Original Format,5 x 7 print,Photograph
Original Format,5x5 print,Photograph
Original Format,5x7 print,Photograph
Original Format,"6""x8"" photograph. Signed.",Photograph
Original Format,7.0x10.7 inches,Photograph
Original Format,7.13 x  9.1,Photograph
Original Format,7.14 x  9.14,Photograph
Original Format,7.16 x  9.1,Photograph
Original Format,7.17 x  9.09,Photograph
Original Format,7.19 x  9.13,Photograph
Original Format,7.24 x  9.01,Photograph
Original Format,7.24 x  9.06,Photograph
Original Format,7.25 x  9.13,Photograph
Original Format,7.27 x  8.84,Photograph
Original Format,7.27 x  9.15,Photograph
Original Format,7.28 x  9.02,Photograph
Original Format,7.29 x  9.01,Photograph
Original Format,7.2x10.5 inches,Photograph
Original Format,7.2x10.6 inches,Photograph
Original Format,7.2x10.7 inches,Photograph
Original Format,7.31 x  9.1,Photograph
Original Format,7.33 x  9.07,Photograph
Original Format,7.3x10.7 inches,Photograph
Original Format,7.48 x  9.2,Photograph
Original Format,7.75x9.88,Photograph
Original Format,7.96 x  10.01,Photograph
Original Format,7.98 x  9.99,Photograph
Original Format,8.02 x  10.03,Photograph
Original Format,8.04 x  9.99,Photograph
Original Format,8.2x7.2 inches,Photograph
Original Format,8.44 x  11.62,Photograph
Original Format,8.5 x  11.7,Photograph
Original Format,8.75x4,Photograph
Original Format,8x10 BW print,Photograph
Original Format,8x10 print,Photograph
Original Format,9.95 x  7.94,Photograph
Original Format,9.99 x  7.98,Photograph
Original Format,acetate,Acetate
Original Format,"acetate, acetate",Acetate
Original Format,acetate?,Acetate
Original Format,Albumen print?,Albumen Print
Original Format,B/W negative,Negative
Original Format,B/W photograph,Photograph
Original Format,B/W Photograph,Photograph
Original Format,Black and white 8x10 film negative,Negative
Original Format,Black and white film negative,Negative
Original Format,Black and white photograph,Negative
Original Format,Black and white print,Negative
Original Format,Black and white print.,Negative
Original Format,Book,Book
Original Format,BW photograph,Photograph
Original Format,Charcoal drawings,Charcoal drawings
Original Format,Color photograph,Photograph
Original Format,Cyanotype,Cyanotype
Original Format,Digital camera image,Digital Photograph
Original Format,Digital only,Digital Photograph
Original Format,Document,Document
Original Format,Drawing,Drawing
Original Format,Field notes,Field notes
Original Format,film (unknown base),Negative
Original Format,glass,Glass Plate Negative
Original Format,"Glass negative 4""x5""",Glass Plate Negative
Original Format,"Glass negative 5""x7""",Glass Plate Negative
Original Format,Glass Plate Negative,Glass Plate Negative
Original Format,"glass, acetate",Glass Plate Negative
Original Format,JPEG,Digital Photograph
Original Format,Lantern slide,Lantern slide
Original Format,Magazine article,Magazine article
Original Format,Map,Map
Original Format,Negative,Negative
Original Format,Negatives,Negatives
Original Format,Negatives and prints,Photograph
Original Format,Newspaper,Newspaper
Original Format,Newspaper,Newspaper
Original Format,Newspaper article,Newspaper
Original Format,Newspaper collage,Newspaper
Original Format,Newspaper or magazine article,Newspaper
Original Format,Newspaper rotogravure pictorial section,Newspaper
Original Format,Newspaper rotogravure pictorical section,Newspaper
Original Format,Newspaper rotogravure section,Newspaper
Original Format,nitrate,Nitrate negative
Original Format,Nitrate,Nitrate negative
Original Format,nitrate 4x6 negative,Nitrate negative
Original Format,Nitrate negative,Nitrate negative
Original Format,"nitrate, acetate",Nitrate negative
Original Format,nitrate?,Nitrate negative
Original Format,No physical copy,Digital Photograph
Original Format,No physical copy.  Back-up digital file is located on CD labeled: 150th Book Illustrations 5 - Department Curators.  CD is located in the Corsi Digital Library.,Digital Photograph
Original Format,"Page from ""The Monarch Souvenir of Sunset City"".",Book
Original Format,Painting,Painting
Original Format,Paper certificate,Paper certificate
Original Format,Photograph,Photograph
Original Format,Photographic print,Photograph
Original Format,Polaroid,Polaroid
Original Format,Postcard,Postcard
Original Format,Postcards,Postcards
Original Format,print,Photograph
Original Format,Print,Photograph
Original Format,Printed,Photograph
Original Format,Prints,Photograph
Original Format,Rare book plates,Rare book plates
Original Format,safety film,Safety film
Original Format,Sketch,Sketch
Original Format,Slide,Slides
Original Format,Slides,Slides
Original Format,Stamp,Stamp
Original Format,Stereographs,Stereographs
Original Format,Tile 44x18,Tile
Original Format,Tile 74x48,Tile
Original Format,Transparency,Transparency
Original Format,Unknown,Unknown
Original Format,Water color,Watercolor
Original Format,Watercolor,Watercolor
Original Format,Wood and gold,Digital Photograph
Original Format,Wood and gold.,Digital Photograph
Rights Holder,"""Fisher, Brian L.""","Fisher, Brian L."
